STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
NAGALAND,2003,RAPE,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
NAGALAND,2003,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
NAGALAND,2003,DACOITY,0,0,0,14,0,14,5,0,5,0,0,0,19,0,19
NAGALAND,2003,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,ROBBERY,0,0,0,10,0,10,3,0,3,0,0,0,13,0,13
NAGALAND,2003,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,EXTORTION,0,0,0,4,0,4,4,0,4,3,0,3,11,0,11
NAGALAND,2003,RIOTS,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
NAGALAND,2003,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,CHEATING,0,0,0,3,0,3,2,0,2,2,0,2,7,0,7
NAGALAND,2003,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
